"id(n)","size((n)-[:`person/investor`]-())","size((n)-[:`person/legal`]-())","size((n)-[:`company/investor`]-())","size((n)-[:`company/staff`]-())","size((n)-[:`company/legal`]-())"
"40","6","4","0","18","0"
"210","12","7","0","9","0"
"304","34","27","0","4","0"
"381","8","6","0","8","0"
"760","7","7","0","7","0"
"957","16","8","0","16","0"
"1824","0","1","0","52","0"
"2262","13","5","0","14","0"
"2883","20","1","0","5","0"
"3141","14","3","0","9","0"
"3354","7","8","0","10","0"
"3872","12","4","0","12","0"
"4200","7","9","0","11","0"
"4227","9","7","0","8","0"
"4856","0","20","0","1","0"
"6258","8","4","0","10","0"
"6556","0","30","0","35","0"
"6650","9","3","0","8","0"
"6685","3","2","0","26","0"
"7051","2","12","0","8","0"
"7375","14","5","0","12","0"
"7534","12","3","0","15","0"
"7609","8","9","0","9","0"
"7717","8","4","0","8","0"
"7763","2","32","0","32","0"
"7934","8","5","0","7","0"
"8930","8","5","0","10","0"
"9140","15","10","0","15","0"
"9408","2","11","0","7","0"
"9633","7","6","0","7","0"
"9820","14","6","0","13","0"
"10572","18","11","0","20","0"
"10723","4","8","0","10","0"
"10930","13","15","0","29","0"
"10979","20","10","0","20","0"
"11021","6","5","0","12","0"
"11353","8","7","0","6","0"
"11893","1","13","0","10","0"
"12022","7","6","0","7","0"
"12118","7","9","0","4","0"
"12511","8","7","0","5","0"
"12532","1","3","0","17","0"
"12587","13","7","0","14","0"
"12777","8","3","0","9","0"
"13415","18","7","0","15","0"
"13426","10","3","0","10","0"
"13470","0","12","0","10","0"
"13596","10","12","0","20","0"
"13886","6","11","0","12","0"
"14456","10","5","0","10","0"
"14672","10","5","0","10","0"
"14851","9","5","0","9","0"
"15374","0","45","0","0","0"
"15789","9","8","0","9","0"
"16530","7","7","0","18","0"
"17783","15","1","0","6","0"
"17808","5","6","0","9","0"
"18067","6","6","0","8","0"
"18324","3","13","0","5","0"
"18400","12","9","0","13","0"
"18425","24","11","0","39","0"
"18516","7","5","0","8","0"
"19334","0","13","0","13","0"
"20443","11","12","0","15","0"
"20581","12","4","0","8","0"
"21358","10","11","0","9","0"
"21892","10","10","0","15","0"
"21897","15","3","0","10","0"
"22319","12","5","0","11","0"
"22714","5","6","0","17","0"
"22721","14","13","0","16","0"
"23300","9","5","0","8","0"
"23392","0","46","0","19","0"
"23492","3","1","0","19","0"
"24317","0","0","0","38","0"
"24502","10","5","0","10","0"
"24917","7","8","0","11","0"
"25001","7","8","0","9","0"
"25434","10","12","0","16","0"
"25583","7","8","0","9","0"
"26641","7","5","0","8","0"
"26688","3","8","0","10","0"
"26810","0","12","0","12","0"
"27664","10","2","0","10","0"
"28790","0","40","0","29","0"
"28832","1","0","0","27","0"
"28884","0","15","0","15","0"
"29520","15","2","0","3","0"
"29549","10","23","0","31","0"
"29637","8","10","0","6","0"
"29820","4","9","0","18","0"
"29824","5","9","0","9","0"
"29870","16","13","0","16","0"
"30081","7","7","0","6","0"
"30209","6","7","0","7","0"
"31050","3","18","0","34","0"
"31129","9","11","0","11","0"
"31183","7","4","0","10","0"
"31251","0","8","0","13","0"
"32473","2","15","0","12","0"
"32499","6","7","0","10","0"
"33017","5","21","0","15","0"
"33047","5","7","0","13","0"
"33096","11","10","0","11","0"
"33369","8","10","0","18","0"
"33674","11","2","0","11","0"
"33854","30","14","0","30","0"
"34098","0","36","0","37","0"
"34319","0","11","0","11","0"
"35173","9","3","0","11","0"
"35289","5","5","0","10","0"
"35417","0","16","0","25","0"
"35659","0","40","0","40","0"
"35954","9","5","0","11","0"
"36204","10","2","0","8","0"
"36906","0","40","0","53","0"
"37017","8","6","0","6","0"
"37220","10","5","0","10","0"
"37242","9","11","0","12","0"
"37268","8","4","0","8","0"
"37388","9","5","0","7","0"
"37514","7","6","0","7","0"
"37831","19","8","0","20","0"
"37996","6","6","0","9","0"
"38347","3","18","0","24","0"
"38646","10","10","0","12","0"
"38987","12","13","0","15","0"
"39961","10","5","0","5","0"
"40087","11","3","0","11","0"
"40126","18","17","0","20","0"
"40140","15","4","0","7","0"
"40269","13","7","0","22","0"
"40535","5","31","0","44","0"
"40732","4","2","0","20","0"
"41330","9","4","0","8","0"
"41584","7","6","0","7","0"
"41591","8","5","0","8","0"
"41632","10","11","0","13","0"
"41676","8","4","0","10","0"
"42614","28","7","0","19","0"
"42709","0","9","0","13","0"
"42932","11","6","0","10","0"
"44115","4","8","0","8","0"
"44327","0","0","0","20","0"
"45666","0","26","0","1","0"
"45975","6","8","0","6","0"
"47054","8","7","0","9","0"
"47266","10","8","0","11","0"
"47403","4","7","0","18","0"
"47776","9","3","0","10","0"
"47812","9","5","0","8","0"
"48075","10","10","0","10","0"
"48611","11","8","0","17","0"
"48668","8","8","0","10","0"
"48817","13","2","0","10","0"
"48856","4","17","0","5","0"
"49893","49","29","0","52","0"
"50316","5","11","0","9","0"
"50695","10","5","0","10","0"
"51339","15","6","0","16","0"
"51656","4","10","0","10","0"
"52138","6","7","0","8","0"
"52272","7","6","0","7","0"
"53265","14","7","0","19","0"
"53529","4","8","0","11","0"
"54139","7","2","0","13","0"
"54156","7","7","0","12","0"
"54408","9","4","0","13","0"
"54467","8","5","0","11","0"
"54732","18","21","0","26","0"
"54917","15","8","0","15","0"
"55461","11","5","0","8","0"
"55852","7","5","0","8","0"
"55909","0","17","0","17","0"
"56005","0","16","0","15","0"
"56282","10","7","0","13","0"
"56420","9","2","0","9","0"
"56743","7","7","0","7","0"
"56825","10","5","0","10","0"
"57324","0","20","0","22","0"
"57359","8","6","0","9","0"
"57399","9","6","0","9","0"
"57479","4","25","0","21","0"
"57631","7","5","0","10","0"
"57879","9","9","0","9","0"
"58241","8","2","0","11","0"
"58370","19","3","0","2","0"
"58686","6","7","0","8","0"
"58705","7","12","0","4","0"
"59059","4","7","0","9","0"
"59846","5","7","0","12","0"
"59848","11","6","0","12","0"
"59869","10","3","0","10","0"
"60241","1","20","0","26","0"
"60407","13","12","0","14","0"
"60930","7","9","0","11","0"
"61044","3","12","0","12","0"
"61639","10","6","0","10","0"
"61981","10","3","0","8","0"
"62188","10","6","0","10","0"
"62810","3","15","0","13","0"
"63198","10","4","0","8","0"
"63212","78","10","0","79","0"
"63268","7","15","0","14","0"
"63395","7","7","0","9","0"
"63398","4","7","0","10","0"
"63654","6","8","0","7","0"
"64255","8","15","0","20","0"
"64283","9","11","0","20","0"
"64439","13","8","0","9","0"
"64524","9","6","0","7","0"
"64792","25","1","0","3","0"
"65017","4","15","0","15","0"
"65105","4","11","0","11","0"
"65400","9","5","0","7","0"
"65411","0","13","0","8","0"
"65478","10","4","0","12","0"
"65504","7","6","0","9","0"
"65664","7","0","0","128","0"
"66240","5","9","0","6","0"
"66273","0","39","0","29","0"
"66885","10","11","0","11","0"
"67722","7","17","0","14","0"
"67733","2","29","0","18","0"
"68839","8","13","0","20","0"
"69863","4","12","0","14","0"
"69938","0","48","0","23","0"
"69976","6","5","0","12","0"
"70528","2","2","0","26","0"
"70658","4","10","0","10","0"
"71650","7","9","0","8","0"
"71953","233","0","0","0","0"
"72101","4","9","0","18","0"
"72348","9","9","0","10","0"
"72674","14","18","0","21","0"
"72711","7","7","0","7","0"
"72756","7","4","0","9","0"
"72881","7","7","0","13","0"
"73994","7","4","0","10","0"
"74433","8","4","0","13","0"
"74733","7","5","0","11","0"
"74814","5","10","0","12","0"
"74939","12","8","0","13","0"
"74947","9","6","0","5","0"
"75130","10","4","0","7","0"
"75833","8","3","0","9","0"
"75851","9","6","0","10","0"
"76021","8","6","0","11","0"
"76427","7","8","0","8","0"
"76450","12","6","0","12","0"
